 "s" , "p" , "o" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , ":HouseTerm" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , ":Oireachtas" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , "time:TemporalEntity" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , "time:ProperInterval" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , "http://rdaregistry.info/Elements/c/C10005" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , "org:FormalOrganization" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , "http://rdaregistry.info/Elements/c/C10002" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , "time:Interval" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "rdf:type" , "eli:Agent" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , ":commenced" , "http://oireachtas.ie/ie/oireachtas/house/dail/30/commenced/2007-05-25" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , ":ended" , "http://oireachtas.ie/ie/oireachtas/house/dail/30/dissolved/2011-03-08" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , ":termOf" , "http://oireachtas.ie/ie/oireachtas/dail" ,  ,  ,  ,
 "http://oireachtas.ie/ie/oireachtas/house/dail/30" , "skos:prefLabel" , "30th Dáil" ,  ,  ,  ,
